id,title,authors,conference,year,official_page,pdf_link,status_or_award
ECCV2024-0019,BRAVE: Broadening the visual encoding of vision-language models,Oguzhan Fatih Kar; Alessio Tonioni; Petra Poklukar; Achin Kulshrestha; Amir Zamir; Federico Tombari,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2001,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02433.pdf,2024 Poster
ECCV2024-0020,Motion-prior Contrast Maximization for Dense Continuous-Time Motion Estimation,Friedhelm Hamann; Ziyun Wang; Ioannis Asmanis; Kenneth Chaney; Guillermo Gallego; Kostas Daniilidis,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1740,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00304.pdf,2024 Poster
ECCV2024-0021,SplatFields: Neural Gaussian Splats for Sparse 3D and 4D Reconstruction,Marko Mihajlovic; Sergey Prokudin; Siyu Tang; Robert Maier; Federica Bogo; Tony Tung; Edmond Boyer,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/914,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00254.pdf,2024 Poster
ECCV2024-0022,CPT-VR: Improving Surface Rendering via Closest Point Transform with View-Reflection Appearance,Zhipeng Hu; Yongqiang Zhang; Chen Liu; Lincheng Li; Sida Peng; Xiaowei Zhou; Changjie Fan; Xin Yu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/561,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/09272.pdf,2024 Poster
ECCV2024-0023,OGNI-DC: Robust Depth Completion with Optimization-Guided Neural Iterations,Yiming Zuo; Jia Deng,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1364,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00319.pdf,2024 Poster
ECCV2024-0024,MapDistill: Boosting Efficient Camera-based HD Map Construction via Camera-LiDAR Fusion Model Distillation,Xiaoshuai Hao; Ruikai Li; Hui Zhang; Rong Yin; Dingzhe Li; Sangil Jung; Seung-In Park; ByungIn Yoo; Haimei Zhao; Jing Zhang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/237,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00358.pdf,2024 Poster
ECCV2024-0025,High-Resolution and Few-shot View Synthesis from Asymmetric Dual-lens Inputs,Ruikang Xu; Mingde Yao; Yue Li; Yueyi Zhang; Zhiwei Xiong,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2395,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00368.pdf,2024 Poster
ECCV2024-0026,AFreeCA: Annotation-Free Counting for All,Adriano DAlessandro; Ali Mahdavi-Amiri; Ghassan Hamarneh,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1135,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00497.pdf,2024 Poster
ECCV2024-0027,Adversarially Robust Distillation by Reducing the Student-Teacher Variance Gap,Junhao Dong; Piotr Koniusz; Junxi Chen; Yew Soon Ong,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/845,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00499.pdf,2024 Poster
ECCV2024-0028,LN3Diff: Scalable Latent Neural Fields Diffusion for Speedy 3D Generation,Yushi Lan; Fangzhou Hong; Shuai Yang; Shangchen Zhou; Xuyi Meng; Bo Dai; Xingang Pan; Chen Change Loy,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1669,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00501.pdf,2024 Poster
ECCV2024-0029,Motion and Structure from Event-based Normal Flow,Zhongyang Ren; Bangyan Liao; Delei Kong; Jinghang Li; Peidong Liu; Laurent Kneip; Guillermo Gallego; Yi Zhou,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2480,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07261.pdf,2024 Poster
ECCV2024-0030,Hierarchical Temporal Context Learning for Camera-based Semantic Scene Completion,Bohan Li; Jiajun Deng; Wenyao Zhang; Zhujin Liang; Dalong Du; Xin Jin; Wenjun Zeng,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1366,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00502.pdf,2024 Poster
ECCV2024-0031,DiscoMatch: Fast Discrete Optimisation for Geometrically Consistent 3D Shape Matching,Paul Roetzer; Ahmed Abbas; Dongliang Cao; Florian Bernard; Paul Swoboda,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/595,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07026.pdf,2024 Poster
ECCV2024-0032,When Pedestrian Detection Meets Multi-Modal Learning: Generalist Model and Benchmark Dataset,Yi Zhang; Wang Zeng; Sheng Jin; Chen Qian; Ping Luo; Wentao Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/236,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06487.pdf,2024 Poster
ECCV2024-0033,HIMO: A New Benchmark for Full-Body Human Interacting with Multiple Objects,Xintao Lv; Liang Xu; Yichao Yan; Xin Jin; Congsheng Xu; Wu Shuwen; Yifan Liu; Lincheng Li; Mengxiao Bi; Wenjun Zeng; Xiaokang Yang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2123,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00564.pdf,2024 Poster
ECCV2024-0034,You Only Learn One Query: Learning Unified Human Query for Single-Stage Multi-Person Multi-Task Human-Centric Perception,Sheng Jin; Shuhuai Li; Tong Li; Wentao Liu; Chen Qian; Ping Luo,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2556,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02688.pdf,2024 Poster
ECCV2024-0035,Contrastive ground-level image and remote sensing pre-training improves representation learning for natural world imagery,Andy V Huynh; Lauren Gillespie; Jael Lopez-Saucedo; Claire Tang; Rohan Sikand; Moisés Expósito-Alonso,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/353,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/10352.pdf,2024 Poster
ECCV2024-0036,Instance-dependent Noisy-label Learning with Graphical Model Based Noise-rate Estimation,Arpit Garg; Cuong Cao Nguyen; RAFAEL FELIX; Thanh-Toan Do; Gustavo Carneiro,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1568,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00589.pdf,2024 Poster
ECCV2024-0037,GKGNet: Group K-Nearest Neighbor based Graph Convolutional Network for Multi-Label Image Recognition,Ruijie Yao; Sheng Jin; Lumin Xu; Wang Zeng; Wentao Liu; Chen Qian; Ping Luo; Ji Wu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/831,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02675.pdf,2024 Poster
ECCV2024-0038,LayoutDETR: Detection Transformer Is a Good Multimodal Layout Designer,Ning Yu; Chia-Chih Chen; Zeyuan Chen; Rui Meng; Gang Wu; Paul W Josel; Juan Carlos Niebles; Caiming Xiong; Ran Xu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/939,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03022.pdf,2024 Poster
ECCV2024-0039,Merlin: Empowering Multimodal LLMs with Foresight Minds,En Yu; liang zhao; YANA WEI; Jinrong Yang; Dongming Wu; Lingyu Kong; Haoran Wei; Tiancai Wang; Zheng Ge; Xiangyu Zhang; Wenbing Tao,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1827,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00613.pdf,2024 Poster
ECCV2024-0040,E.T. the Exceptional Trajectory: Text-to-camera-trajectory generation with character awareness,Robin Courant; Nicolas Dufour; Xi WANG; Marc Christie; Vicky Kalogeiton,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1401,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00632.pdf,2024 Poster
ECCV2024-0041,Nuvo: Neural UV Mapping for Unruly 3D Representations,Pratul Srinivasan; Stephan J Garbin; Dor Verbin; Jon Barron; Ben Mildenhall,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/188,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05571.pdf,2024 Poster
ECCV2024-0042,Towards Neuro-Symbolic Video Understanding,Minkyu Choi; Harsh Goel; Mohammad Omama; Yunhao Yang; Sahil Shah; Sandeep Chinchali,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1979,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/10038.pdf,2024 Poster
ECCV2024-0043,SceneGraphLoc: Cross-Modal Coarse Visual Localization on 3D Scene Graphs,Yang Miao; Francis Engelmann; Olga Vysotska; Federico Tombari; Marc Pollefeys; Daniel Barath,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1342,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01255.pdf,2024 Poster
ECCV2024-0044,Improving 2D Feature Representations by 3D-Aware Fine-Tuning,Yuanwen Yue; Anurag Das; Francis Engelmann; Siyu Tang; Jan Eric Lenssen,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/953,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00176.pdf,2024 Poster
ECCV2024-0045,Diffusion Bridges for 3D Point Cloud Denoising,Mathias Vogel; Keisuke Tateno; Marc Pollefeys; Federico Tombari; Marie-Julie Rakotosaona; Francis Engelmann,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/207,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00203.pdf,2024 Poster
ECCV2024-0046,AttnZero: Efficient Attention Discovery for Vision Transformers,Lujun Li; Zimian Wei; Peijie Dong; Wenhan Luo; Wei Xue; Qifeng Liu; Yike Guo,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2294,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00666.pdf,2024 Poster
ECCV2024-0047,Auto-GAS: Automated Proxy Discovery for Training-free Generative Architecture Search,Lujun Li; Haosen SUN; Shiwen Li; Peijie Dong; Wenhan Luo; Wei Xue; Qifeng Liu; Yike Guo,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1951,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00668.pdf,2024 Poster
ECCV2024-0048,Auto-DAS: Automated Proxy Discovery for Training-free Distillation-aware Architecture Search,Haosen SUN; Lujun Li; Peijie Dong; Zimian Wei; Shitong Shao,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1584,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00676.pdf,2024 Poster
ECCV2024-0049,Spectral Subsurface Scattering for Material Classification,Haejoon Lee; Aswin C. Sankaranarayanan,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/739,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00725.pdf,2024 Poster
ECCV2024-0050,HeadGaS: Real-Time Animatable Head Avatars via 3D Gaussian Splatting,Helisa Dhamo; Yinyu Nie; Arthur Moreau; Song Jifei; Richard Shaw; Yiren Zhou; Eduardo Pérez Pellitero,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/893,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00280.pdf,2024 Poster
ECCV2024-0051,"Eyes Closed, Safety On: Protecting Multimodal LLMs via Image-to-Text Transformation",Yunhao Gou; Kai Chen; Zhili LIU; Lanqing Hong; Hang Xu; ZHENGUO LI; Dit-Yan Yeung; James Kwok; Yu Zhang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1496,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02634.pdf,2024 Poster
ECCV2024-0052,nuCraft: Crafting High Resolution 3D Semantic Occupancy for Unified 3D Scene Understanding,Benjin Zhu; zhe wang; Hongsheng LI,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/246,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00730.pdf,2024 Poster
ECCV2024-0053,HumanRefiner: Benchmarking Abnormal Human Generation and Refining with Coarse-to-fine Pose-Reversible Guidance,Guian Fang; Wenbiao Yan; Yuanfan Guo; Jianhua Han; Zutao Jiang; Hang Xu; Shengcai Liao; Xiaodan Liang,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/197,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/04696.pdf,2024 Poster
ECCV2024-0054,CarFormer: Self-Driving with Learned Object-Centric Representations,Shadi Hamdan; Fatma Guney,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2110,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00753.pdf,2024 Poster
ECCV2024-0055,Text-Guided Video Masked Autoencoder,David Fan; Jue Wang; Shuai Liao; Zhikang Zhang; Vimal Bhat; Xinyu Li,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2573,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00790.pdf,2024 Poster
ECCV2024-0056,PanGu-Draw: Advancing Resource-Efficient Text-to-Image Synthesis with Time-Decoupled Training and Reusable Coop-Diffusion,Guansong Lu; Yuanfan Guo; Jianhua Han; Minzhe Niu; Yihan Zeng; Xu Songcen; Zeyi Huang; Zhao Zhong; Wei Zhang; Hang Xu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2507,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06138.pdf,2024 Poster
ECCV2024-0057,BAD-Gaussians: Bundle Adjusted Deblur Gaussian Splatting,Lingzhe Zhao; Peng Wang; Peidong Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2028,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03633.pdf,2024 Poster
ECCV2024-0058,Textual-Visual Logic Challenge: Understanding and Reasoning in Text-to-Image Generation,Peixi Xiong; Michael A Kozuch; Nilesh Jain,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/763,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00796.pdf,2024 Poster
