id,title,authors,conference,year,official_page,pdf_link,status_or_award
CVPR2026-1291,Failure Modes for Deep Learning-Based Online Mapping: How to Measure and Address Them,Michael Hubbertz; Qi Han; Tobias Meisen,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Hubbertz_Failure_Modes_for_Deep_Learning-Based_Online_Mapping_How_to_Measure_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Hubbertz_Failure_Modes_for_Deep_Learning-Based_Online_Mapping_How_to_Measure_CVPR_2026_paper.pdf,
CVPR2026-1292,SV-GS: Sparse View 4D Reconstruction with Skeleton-Driven Gaussian Splatting,Jun-Jee Chao; Volkan Isler,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Chao_SV-GS_Sparse_View_4D_Reconstruction_with_Skeleton-Driven_Gaussian_Splatting_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chao_SV-GS_Sparse_View_4D_Reconstruction_with_Skeleton-Driven_Gaussian_Splatting_CVPR_2026_paper.pdf,
CVPR2026-1293,Streamlined Open-Vocabulary Human-Object Interaction Detection,Chang Sun; Dongliang Liao; Changxing Ding,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Sun_Streamlined_Open-Vocabulary_Human-Object_Interaction_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_Streamlined_Open-Vocabulary_Human-Object_Interaction_Detection_CVPR_2026_paper.pdf,
CVPR2026-1294,Think 360deg: Beyond Depth: Evaluating the Width-centric Reasoning Capability of MLLMs,Mingrui Chen; Hexiong Yang; Haogeng Liu; Huaibo Huang; Ran He,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Think_360deg_Beyond_Depth_Evaluating_the_Width-centric_Reasoning_Capability_of_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Think_360deg_Beyond_Depth_Evaluating_the_Width-centric_Reasoning_Capability_of_CVPR_2026_paper.pdf,
CVPR2026-1295,Multi-Prototype Compactness and Boundary-Aware Synthesis for Unsupervised Anomaly Detection,Kailun Liao; Jianfeng Yang; Tao Tao; Wenfei Wu; Jiaming Jiang; Jinsheng Xiao,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Liao_Multi-Prototype_Compactness_and_Boundary-Aware_Synthesis_for_Unsupervised_Anomaly_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liao_Multi-Prototype_Compactness_and_Boundary-Aware_Synthesis_for_Unsupervised_Anomaly_Detection_CVPR_2026_paper.pdf,
CVPR2026-1296,ORBIT: Benchmarking SfM in the Wild with 360deg Video,Sara Sabour; Richard Tucker; Marcus Brubaker; Saurabh Saxena; Junhwa Hur; Andrea Tagliasacchi; Deqing Sun; David J. Fleet; Richard Szeliski; Noah Snavely,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Sabour_ORBIT_Benchmarking_SfM_in_the_Wild_with_360deg_Video_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Sabour_ORBIT_Benchmarking_SfM_in_the_Wild_with_360deg_Video_CVPR_2026_paper.pdf,
CVPR2026-1297,TR2M: Transferring Monocular Relative Depth to Metric Depth with Language Descriptions and Dual-Level Scale-Oriented Contrast,Beilei Cui; Yiming Huang; Long Bai; Hongliang Ren,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Cui_TR2M_Transferring_Monocular_Relative_Depth_to_Metric_Depth_with_Language_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Cui_TR2M_Transferring_Monocular_Relative_Depth_to_Metric_Depth_with_Language_CVPR_2026_paper.pdf,
CVPR2026-1298,VideoNet: A Large-Scale Dataset for Domain-Specific Action Recognition,Tanush Yadav; Mohammadreza Salehi; Jae Sung Park; Vivek Ramanujan; Hannaneh Hajishirzi; Yejin Choi; Ali Farhadi; Rohun Tripathi; Ranjay Krishna,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Yadav_VideoNet_A_Large-Scale_Dataset_for_Domain-Specific_Action_Recognition_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yadav_VideoNet_A_Large-Scale_Dataset_for_Domain-Specific_Action_Recognition_CVPR_2026_paper.pdf,
CVPR2026-1299,DynBridge: Bridging Imagination and Control through Interaction Dynamics for Robot Manipulation,Alex Wang; Zhiwei Dong; Qicheng Bai; Chenshi Zhang; Yujie Yi; Guang Dai; Yong Liu; Mengmeng Wang,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_DynBridge_Bridging_Imagination_and_Control_through_Interaction_Dynamics_for_Robot_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_DynBridge_Bridging_Imagination_and_Control_through_Interaction_Dynamics_for_Robot_CVPR_2026_paper.pdf,
CVPR2026-1300,"Deeper Thought, Weaker Aim: Understanding and Mitigating Perceptual Impairment during Reasoning in Multimodal Large Language Models",Ruiying Peng; Xueyu Wu; Jing Lei; Lu Hou; Yuanzheng Ma; Xiao-Hui Li,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Peng_Deeper_Thought_Weaker_Aim_Understanding_and_Mitigating_Perceptual_Impairment_during_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Peng_Deeper_Thought_Weaker_Aim_Understanding_and_Mitigating_Perceptual_Impairment_during_CVPR_2026_paper.pdf,
