id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICML2024-0018,ACPO: A Policy Optimization Algorithm for Average MDPs with Constraints,"Akhil Agnihotri, Rahul Jain, Haipeng Luo",ICML,2024,https://proceedings.mlr.press/v235/agnihotri24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agnihotri24a/agnihotri24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0019,CosPGD: an efficient white-box adversarial attack for pixel-wise prediction tasks,"Shashank Agnihotri, Steffen Jung, Margret Keuper",ICML,2024,https://proceedings.mlr.press/v235/agnihotri24b.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agnihotri24b/agnihotri24b.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0020,LeaPformer: Enabling Linear Transformers for Autoregressive and Simultaneous Tasks via Learned Proportions,"Victor Agostinelli Iii, Sanghyun Hong, Lizhong Chen",ICML,2024,https://proceedings.mlr.press/v235/agostinelli-iii24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agostinelli-iii24a/agostinelli-iii24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0021,Policy Evaluation for Variance in Average Reward Reinforcement Learning,"Shubhada Agrawal, Prashanth L A, Siva Theja Maguluri",ICML,2024,https://proceedings.mlr.press/v235/agrawal24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/agrawal24a/agrawal24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0022,Distinguishing the Knowable from the Unknowable with Language Models,"Gustaf Ahdritz, Tian Qin, Nikhil Vyas, Boaz Barak, Benjamin L. Edelman",ICML,2024,https://proceedings.mlr.press/v235/ahdritz24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ahdritz24a/ahdritz24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0023,Unmasking Vulnerabilities: Cardinality Sketches under Adaptive Inputs,"Sara Ahmadian, Edith Cohen",ICML,2024,https://proceedings.mlr.press/v235/ahmadian24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ahmadian24a/ahmadian24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0024,OptiMUS: Scalable Optimization Modeling with (MI)LP Solvers and Large Language Models,"Ali Ahmaditeshnizi, Wenzhi Gao, Madeleine Udell",ICML,2024,https://proceedings.mlr.press/v235/ahmaditeshnizi24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ahmaditeshnizi24a/ahmaditeshnizi24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0025,How to Escape Sharp Minima with Random Perturbations,"Kwangjun Ahn, Ali Jadbabaie, Suvrit Sra",ICML,2024,https://proceedings.mlr.press/v235/ahn24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ahn24a/ahn24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0026,Understanding Adam Optimizer via Online Learning of Updates: Adam is FTRL in Disguise,"Kwangjun Ahn, Zhiyu Zhang, Yunbum Kook, Yan Dai",ICML,2024,https://proceedings.mlr.press/v235/ahn24b.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ahn24b/ahn24b.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0027,Not all distributional shifts are equal: Fine-grained robust conformal inference,"Jiahao Ai, Zhimei Ren",ICML,2024,https://proceedings.mlr.press/v235/ai24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ai24a/ai24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0028,Triple Changes Estimator for Targeted Policies,"Sina Akbari, Negar Kiyavash",ICML,2024,https://proceedings.mlr.press/v235/akbari24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akbari24a/akbari24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0029,Improving Computational Complexity in Statistical Models with Local Curvature Information,"Pedram Akbarian, Tongzheng Ren, Jiacheng Zhuo, Sujay Sanghavi, Nhat Ho",ICML,2024,https://proceedings.mlr.press/v235/akbarian24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akbarian24a/akbarian24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0030,Learning Mixtures of Gaussian Processes through Random Projection,"Emmanuel Akeweje, Mimi Zhang",ICML,2024,https://proceedings.mlr.press/v235/akeweje24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akeweje24a/akeweje24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0031,Encodings for Prediction-based Neural Architecture Search,"Yash Akhauri, Mohamed S Abdelfattah",ICML,2024,https://proceedings.mlr.press/v235/akhauri24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akhauri24a/akhauri24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0032,Iterated Denoising Energy Matching for Sampling from Boltzmann Densities,"Tara Akhound-Sadegh, Jarrid Rector-Brooks, Joey Bose, Sarthak Mittal, Pablo Lemos, Cheng-Hao Liu, Marcin Sendera, Siamak Ravanbakhsh, Gauthier Gidel, Yoshua Bengio, Nikolay Malkin, Alexander Tong",ICML,2024,https://proceedings.mlr.press/v235/akhound-sadegh24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akhound-sadegh24a/akhound-sadegh24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0033,In-Context Language Learning: Architectures and Algorithms,"Ekin Akyürek, Bailin Wang, Yoon Kim, Jacob Andreas",ICML,2024,https://proceedings.mlr.press/v235/akyurek24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/akyurek24a/akyurek24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0034,Nonlinear Filtering with Brenier Optimal Transport Maps,"Mohammad Al-Jarrah, Niyizhen Jin, Bamdad Hosseini, Amirhossein Taghvaei",ICML,2024,https://proceedings.mlr.press/v235/al-jarrah24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/al-jarrah24a/al-jarrah24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0035,Revisiting Inexact Fixed-Point Iterations for Min-Max Problems: Stochasticity and Structured Nonconvexity,"Ahmet Alacaoglu, Donghwan Kim, Stephen Wright",ICML,2024,https://proceedings.mlr.press/v235/alacaoglu24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alacaoglu24a/alacaoglu24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0036,Gaussian Processes on Cellular Complexes,"Mathieu Alain, So Takao, Brooks Paige, Marc Peter Deisenroth",ICML,2024,https://proceedings.mlr.press/v235/alain24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alain24a/alain24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0037,Remembering to Be Fair: Non-Markovian Fairness in Sequential Decision Making,"Parand A. Alamdari, Toryn Q. Klassen, Elliot Creager, Sheila A. Mcilraith",ICML,2024,https://proceedings.mlr.press/v235/alamdari24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alamdari24a/alamdari24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0038,Stochastic Interpolants with Data-Dependent Couplings,"Michael Samuel Albergo, Mark Goldstein, Nicholas Matthew Boffi, Rajesh Ranganath, Eric Vanden-Eijnden",ICML,2024,https://proceedings.mlr.press/v235/albergo24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/albergo24a/albergo24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0039,Evaluating Model Bias Requires Characterizing its Mistakes,"Isabela Albuquerque, Jessica Schrouff, David Warde-Farley, Ali Taylan Cemgil, Sven Gowal, Olivia Wiles",ICML,2024,https://proceedings.mlr.press/v235/albuquerque24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/albuquerque24a/albuquerque24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
